id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
550789,RadioButtonClickedRule not working,RESOLVED FIXED,None,SWTBot,Recorder/Generator,2.8.0,P3 normal,2.9.0,Aparna Argade,,,,,,,2019-09-05 04:02 EDT by Aparna Argade,2019-09-09 02:04 EDT,0 users
550790,RCPTT doesn't work with new carriage position format,NEW,None,RCPTT,Runtime,2.4.2,P3 normal,---,Project Inbox,,,,,,,2019-09-05 04:07 EDT by Alexander Dudaev,2019-09-05 09:08 EDT,0 users
550791,Upgrade the ELK version to 0.5.0,VERIFIED FIXED,None,Sirius,Diagram,6.1.0,P3 enhancement,6.3.0,Laurent Redor,,,,,,,2019-09-05 04:11 EDT by Laurent Redor,2019-10-02 11:28 EDT,0 users
550792,Change avatar icon of github che-bot user,CLOSED FIXED,None,Community,GitHub,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2019-09-05 04:12 EDT by Florent Benoit,2019-09-05 08:50 EDT,1 user
550793,Update to Ant 1.10.7,VERIFIED FIXED,None,Platform,Ant,4.13,P3 enhancement,4.14 M1,Sarika Sinha,,,,plan,551545,,2019-09-05 04:24 EDT by Sarika Sinha,2019-10-09 05:45 EDT,3 users
550794,StackOverflowError when invoking content assist in lambda with anonymous class result,CLOSED DUPLICATE of bug 550160,None,JDT,Core,4.12,P3 normal,---,JDT-Core-Inbox,,,,,,,2019-09-05 04:34 EDT by Bence Sipka,2019-09-05 10:45 EDT,1 user
550795,"""Java indexing"" runs forever in a larger workspace",NEW,None,JDT,Core,4.13,P3 normal,---,JDT-Core-Inbox,,,,,,,2019-09-05 04:38 EDT by Lars Vogel,2019-09-05 10:33 EDT,2 users
550796,Shorter text in Clean project dialog,RESOLVED FIXED,None,Platform,UI,4.13,P3 normal,4.14 M1,Lars Vogel,,,,,,,2019-09-05 04:58 EDT by Lars Vogel,2019-09-17 13:25 EDT,1 user
550797,Tons of JavaBuilder handling CoreExceptions  - File not found,RESOLVED WORKSFORME,None,JDT,Core,4.13,P3 critical,---,JDT-Core-Inbox,,,,,,,2019-09-05 05:06 EDT by Lars Vogel,2019-09-05 11:39 EDT,2 users
550798,JAVA_HOME broken for jdk11-latest on Hono JIPP Instance,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2019-09-05 06:16 EDT by Carsten Lohmann,2019-09-05 06:24 EDT,2 users
550799,Improve DataTemplate Editor reference handling,NEW,None,ECP,EMF Forms,1.21.0,P3 normal,1.23.0,Eugen Neufeld,,,,,,,2019-09-05 06:48 EDT by Eugen Neufeld,2019-09-26 13:55 EDT,0 users
550800,[TMF] Dark Theme not applied properly in Filters view,RESOLVED FIXED,None,Tracecompass,TMF,5.0.0,P3 normal,5.1.0,Project Inbox,Project Inbox,,,,,,2019-09-05 06:55 EDT by Bernd Hufmann,2019-09-09 10:22 EDT,0 users
550801,sporadically classcastexception (about 1 of 5 cases),CLOSED DUPLICATE of bug 547181,None,JDT,Core,4.12,P3 normal,4.13 M1,Stephan Herrmann,,,,,,,2019-09-05 07:22 EDT by Carsten Hammer,2019-09-23 16:21 EDT,1 user
550802,NPE in SymbolsLabelProvider.getStyledText(SymbolsLabelProvider.java:213),RESOLVED FIXED,None,lsp4e,General,0.10.0,P3 normal,0.11.0,Mickael Istria,,,,,,,2019-09-05 07:39 EDT by Aurelien Pupier,2019-09-05 08:01 EDT,1 user
550803,Enable WIP bot for che-operator repository https://github.com/eclipse/che-operator/,CLOSED FIXED,None,Community,GitHub,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2019-09-05 07:52 EDT by Sergii Leschenko,2019-09-05 08:20 EDT,1 user
550804,WebBrowserEditorInput should implement IURIEditorInput,NEW,None,Platform,UI,4.12,P3 enhancement,---,Platform-UI-Inbox,,,,,,,2019-09-05 08:51 EDT by Mickael Istria,2019-09-05 08:51 EDT,0 users
550805,Update p2 release locations,CLOSED FIXED,None,Ease,General,0.7.0,P3 normal,0.8.0,Project Inbox,,,,,,,2019-09-05 09:08 EDT by Christian Pontesegger,2019-09-05 09:10 EDT,0 users
550806,URGENT-staged-801 directory and nightly-801 directory,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2019-09-05 09:18 EDT by Gurunandan Rao,2019-09-05 09:59 EDT,2 users
550807,Option to set checkIndexStatus is missing in GeneratePDOM,NEW,None,CDT,cdt-core,9.8.1,P3 minor,---,Project Inbox,Doug Schaefer,,,,,,2019-09-05 09:21 EDT by Sadik zoguz,2019-09-06 01:10 EDT,0 users
550808,[release] modeling.mmt.qvt-oml 2019.0.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,needinfo,,,2019-09-05 09:37 EDT by Cydnie Smith,2019-10-09 13:09 EDT,2 users
550809,[release] iot.vorto 0.12.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,,,,2019-09-05 09:38 EDT by Cydnie Smith,2019-09-18 07:43 EDT,3 users
550810,[release] technology.egit 5.5.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,,,,2019-09-05 09:49 EDT by Wayne Beaton,2019-09-18 07:42 EDT,3 users
550811,[release] technology.jgit 5.5.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,,,,2019-09-05 09:50 EDT by Wayne Beaton,2019-09-18 07:42 EDT,3 users
550812,[release] technology.omr 0.1.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,,,,2019-09-05 09:52 EDT by Wayne Beaton,2019-09-18 07:40 EDT,4 users
550813,[API tools] Add check and quickfix to update the service segment,RESOLVED DUPLICATE of bug 493053,None,PDE,API Tools,4.13,P3 normal,---,PDE API Tools Inbox,,,,,,,2019-09-05 09:54 EDT by Lars Vogel,2019-09-06 00:05 EDT,1 user
550814,[Data Template] References to Ecore should use run-time URIs,CLOSED FIXED,None,ECP,EMF Forms,1.22.0,P3 normal,1.23.0,Christian Damus,Eugen Neufeld,,,,,,2019-09-05 10:19 EDT by Christian Damus,2019-09-27 07:14 EDT,0 users
550815,Eclipse Checking spelling not show warning when used English symbols and Ukrainian(Cyrillic) symbols in one word,NEW,None,Platform,Text,4.13,P3 normal,---,Platform-Text-Inbox,,,,,,,2019-09-05 10:29 EDT by Ihor Lavryniuk,2019-09-05 10:29 EDT,1 user
550816,Fix process monitoring bugs in PDE,NEW,None,PDE,UI,4.13,P3 normal,---,PDE-UI-Inbox,,,,"bugday, helpwanted",,,2019-09-05 11:01 EDT by Lars Vogel,2019-09-11 08:20 EDT,4 users
550817,UI freeze during replace with Previous revision in RepositoryActionHandler.findPreviousCommits,RESOLVED FIXED,None,EGit,UI,unspecified,P3 normal,---,Project Inbox,,,,,,,2019-09-05 11:42 EDT by Lars Vogel,2019-09-11 08:19 EDT,2 users
550818,[null][external] external annotations are dropped when other type annotations exist on the same member,NEW,None,JDT,Core,4.13,P3 normal,4.14 M3,Stephan Herrmann,,,,,,,2019-09-05 11:43 EDT by Patrick Tasse,2019-09-06 18:08 EDT,2 users
550819,DB transaction is not rolled back because of an exception during flush,NEW,None,EclipseLink,JPA,2.7.0,P3 major,Future,Project Inbox,,,,,,,2019-09-05 13:49 EDT by Viktor Ziminov,2019-09-05 13:49 EDT,0 users
550820,Team->Advanced->Create Tag appears in history view's context menu,RESOLVED FIXED,None,EGit,UI,5.5,P3 trivial,5.6,Project Inbox,,,,,,,2019-09-05 14:13 EDT by Thomas Wolf,2019-09-20 12:25 EDT,1 user
550821,[chain] cannot apply chain proposals where there exists a method containing any parameters,VERIFIED FIXED,None,JDT,UI,4.13,P3 normal,4.14 M1,Roland Grunberg,Roland Grunberg,,,,,,2019-09-05 14:34 EDT by Roland Grunberg,2019-10-09 10:36 EDT,0 users
550822,Gerrit not sending notification emails,REOPENED,None,Community,Gerrit,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2019-09-05 16:10 EDT by Jonah Graham,2019-09-09 08:50 EDT,2 users
550823,[release] tools.wildwebdeveloper 0.5.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,,,,2019-09-05 16:25 EDT by Wayne Beaton,2019-10-02 08:20 EDT,4 users
550824,[release] technology.lsp4e 0.11.0,RESOLVED FIXED,None,Community,Proposals and Reviews,unspecified,P3 normal,---,Eclipse Management Organization,,https://projects.eclipse.org/projects...,,,,,2019-09-05 16:25 EDT by Wayne Beaton,2019-09-18 07:41 EDT,3 users
550825,IProblem.PreviewReleated conflicts with some OT error code,NEW,None,Objectteams,OTJ,2.7.4,P3 normal,2.8,Stephan Herrmann,,,,,,,2019-09-05 16:50 EDT by Stephan Herrmann,2019-09-05 16:50 EDT,0 users
550826,Add tool tips to ECE 2019 to show track description on schedule pages,NEW,None,Drupal,Eclipsecon,unspecified,P3 normal,---,Eric Poirier,,,,,,,2019-09-05 16:51 EDT by Anne Jacko,2019-09-09 08:02 EDT,2 users
550827,Add repository location should be resizable and location area should widen horizontally on resize,RESOLVED FIXED,None,Equinox,p2,4.13,P3 normal,4.14 M1,Vikas Chandra,,,,,,,2019-09-06 03:33 EDT by Vikas Chandra,2019-09-20 12:33 EDT,1 user
550828,Activate heap monitor by default,REOPENED,None,Platform,UI,4.13,P3 normal,---,Lars Vogel,,,,,551029,,2019-09-06 03:47 EDT by Lars Vogel,2019-10-10 09:37 EDT,6 users
