166,IDEA-123665 richcopy enabled for console and highlighters
2014-04-09T12:18:18Z,commit,make usable in upsource,github.com/JetBrains/intellij-community/pull/166/commits/699e022f5c4eb754820a2ed1e403dbf42a21fc4d
2014-04-09T13:25:04Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/166/commits/e6896ab9bf4ab0d7dcdb9823b5f0c3f4fc65dbf8
2014-04-09T15:33:49Z,commit,notnull,github.com/JetBrains/intellij-community/pull/166/commits/3fe97540a530834cda0ced5f52ef98a1af028f30
2014-04-10T07:57:45Z,commit,empty tool name protection,github.com/JetBrains/intellij-community/pull/166/commits/ec8500e98c0a07dd5978d04f830e335d0f3f6199
2014-04-10T08:29:01Z,commit,invokeOnEdt ¡ª always check passed condition,github.com/JetBrains/intellij-community/pull/166/commits/4fa68a6a434d947a251f65ce7de9e2105b0bc039
2014-04-10T08:54:24Z,commit,initial WEB-4369 Support 'Jump to source' in JavaScript debuggers for¡­,github.com/JetBrains/intellij-community/pull/166/commits/76d86a55b03f5f231d636e84b7c221ff00f58a43
2014-04-10T09:24:58Z,commit,fix Tab behaviour when there's selection (fixing test data),github.com/JetBrains/intellij-community/pull/166/commits/527f08f971658c968c9e4b0a8ba01c1ed0515558
2014-04-08T13:36:33Z,commit,Delayed requests to servers from Open Task popup using Alarm and Futu¡­,github.com/JetBrains/intellij-community/pull/166/commits/75bf2d6d2ebe62b8d73e44a5bfc24c497539895e
2014-04-08T14:28:44Z,commit,IDEA-123467 Add option in CertificateManager to accept all certificat¡­,github.com/JetBrains/intellij-community/pull/166/commits/c1b86a99a2836e502fb0c8f9f1a6b275918e5bcc
2014-04-09T12:17:17Z,commit,Add test of deadlock detection to CertificateTest,github.com/JetBrains/intellij-community/pull/166/commits/1b9067eebe7f9cd7ad32aa2a8dc8f84e25de9648
2014-04-09T13:47:16Z,commit,Add @Nullable/,github.com/JetBrains/intellij-community/pull/166/commits/0c7f52f28ec7f307fc0f37a4f4bb60feb6575bfb
2014-04-09T14:59:56Z,commit,Add some missing @Nullable/,github.com/JetBrains/intellij-community/pull/166/commits/33da443b5388ccc61801c7b8cbc9805271ca2212
2014-04-09T16:28:41Z,commit,Disable Basic Authentication in JIRA connector once JSESSIONID cookie¡­,github.com/JetBrains/intellij-community/pull/166/commits/36825935ed7028d7adff368d2a8c76781876131a
2014-04-10T09:46:55Z,commit,IDEA-123615 (Proxy settings are not exported),github.com/JetBrains/intellij-community/pull/166/commits/efacd0106f2ebe601b01d93d2a8cf50bd0ae065f
2014-04-10T09:52:13Z,commit,remove EditorChooseLookupItemAlways action,github.com/JetBrains/intellij-community/pull/166/commits/44dbc437270e8cd75d3bd72ff3aa5ac00b0f835e
2014-04-10T10:10:33Z,commit,CR-IC-5125 (cleanup),github.com/JetBrains/intellij-community/pull/166/commits/7aabb4286f486dfa853b1592a8e266e045a6a3a1
2014-04-10T10:50:20Z,commit,get rid of intermediate markup representation (IDEA-67767),github.com/JetBrains/intellij-community/pull/166/commits/19a7bdfc7f55de4bb4ebec9ae06a4637db2b1d32
