377,145
2016-04-01T06:20:31Z,discuss,"
No description provided.
"
2016-03-18T15:17:17Z,commit,IDEA-150685 Gradle multi module project's dependency hierarchy is des¡­,github.com/JetBrains/intellij-community/pull/377/commits/bf8899d2cc6aec3450e607395ed074fc15f38ac6
2016-03-21T15:09:51Z,commit,more url fixes,github.com/JetBrains/intellij-community/pull/377/commits/70f2949210866af98ab007fb918ab2291d6bed3f
2016-03-18T17:10:54Z,commit,Fix #PY-18836 ClassCastException in com.jetbrains.python.codeInsight.¡­,github.com/JetBrains/intellij-community/pull/377/commits/edcc4cf2cc497ef0f9c5fe335bf4502e8af498f9
2016-03-21T02:08:10Z,commit,Don't run console with Pty on Windows (PY-18231),github.com/JetBrains/intellij-community/pull/377/commits/7fb90e014132f5ff812721b969ea66a2a7e333b3
2016-03-21T15:47:17Z,commit,Don't send ESC when ALT pressed for non cursor keys (IDEA-152291),github.com/JetBrains/intellij-community/pull/377/commits/f470cfe06052e5ee52c97c17835eadf20682ffd8
2016-03-21T16:00:36Z,commit,Don't show horizontal scrollbar in python console editor until it is ¡­,github.com/JetBrains/intellij-community/pull/377/commits/31f8e28930650ab67f64d3b454b3cce026175b15
2016-03-21T16:47:44Z,commit,Always send ESC for backspace,github.com/JetBrains/intellij-community/pull/377/commits/31fad814a7117862faead268c8be1b0857673c95
2016-03-18T14:28:00Z,commit,overload resolution: clear inference errors from nested calls when to¡­,github.com/JetBrains/intellij-community/pull/377/commits/1d1da72e02d27553781afd1a72fb0d7e4833050b
2016-03-18T14:33:36Z,commit,testdata for IDEA-150754,github.com/JetBrains/intellij-community/pull/377/commits/5deb1efbc1f3ae4b609d5879f0b7ea194a72fe51
2016-03-18T14:40:31Z,commit,testdata for IDEA-151214,github.com/JetBrains/intellij-community/pull/377/commits/7906a03bb6cd217038fdff8a9444a9b8d07bd814
2016-03-18T18:24:54Z,commit,anonymous -> lambda: treat class initializers as fields when forward ¡­,github.com/JetBrains/intellij-community/pull/377/commits/b6b3712946fc1bd883950698d262b899620433e3
2016-03-18T18:50:21Z,commit,anonymous -> method ref: collapse receiver method references to raw r¡­,github.com/JetBrains/intellij-community/pull/377/commits/38a52ad02c207a0b142fe198d0cf2eef27344de0
2016-03-21T10:11:42Z,commit,process override equivalent methods when check for functional interfa¡­,github.com/JetBrains/intellij-community/pull/377/commits/0555331648b197045403345e82c43ea6ba56c48c
2016-03-21T11:07:25Z,commit,testdata for IDEA-153284,github.com/JetBrains/intellij-community/pull/377/commits/e46000eb4f277881b34903675643d7746b4c0864
2016-03-21T11:38:29Z,commit,disable replace with collect for raw collection substitutors (IDEA-15¡­,github.com/JetBrains/intellij-community/pull/377/commits/d5d6760579baf6b486d5e886b0d77879895337a4
2016-03-21T11:49:44Z,commit,"suspicious method calls: don't ignore array types, captures, etc (IDE¡­",github.com/JetBrains/intellij-community/pull/377/commits/589d34b37e85075fdaea8086dacc263ffae15764
2016-03-21T14:44:45Z,commit,overload resolution: testdata for java 8 bug,github.com/JetBrains/intellij-community/pull/377/commits/8578fd23e2c671b2cc6ea25232d4c9e43e3d692b
2016-03-21T17:56:05Z,commit,most specific check for proper functional types fixed,github.com/JetBrains/intellij-community/pull/377/commits/716784ef3457537af4b2e0e3bd7ccf743d13833a
2016-03-21T19:22:48Z,commit,junit: respect chosen class to detect if method is runnable (IDEA-153¡­,github.com/JetBrains/intellij-community/pull/377/commits/95143da3eb170dffe6a20655940dd4bbce8d374a
2016-03-21T19:42:44Z,commit,show error if uninitialized field is referenced from lambda inside in¡­,github.com/JetBrains/intellij-community/pull/377/commits/f021de56bd33a234b909f9c124fba78f6a2fc5c4
2016-03-21T20:10:05Z,commit,anonym -> lambda: reject refs to the next static from static field in¡­,github.com/JetBrains/intellij-community/pull/377/commits/d1032f0903ccaa224c74bba8fc18ff02423382fb
2016-03-16T10:34:08Z,commit,testdata for IDEA-153076,github.com/JetBrains/intellij-community/pull/377/commits/5d91e8983db794b71bf3c4a3ebe5f6a9d7b5fd6e
2016-03-17T12:01:22Z,commit,don't use GlyphVector.getVisualBounds() to determine clip region when¡­,github.com/JetBrains/intellij-community/pull/377/commits/8bb49e2886161e8b817458de0f4c73023ce03550
2016-03-17T12:09:19Z,commit,don't use GlyphVector.getVisualBounds() to determine clip region when¡­,github.com/JetBrains/intellij-community/pull/377/commits/a774f0c854c277d122f085f42561be8145e0ea01
2016-03-22T09:56:29Z,commit,IDEA-153252 IDEA 2016.1 Can't Reference Third-Party Project Gradle Co¡­,github.com/JetBrains/intellij-community/pull/377/commits/5afb7caa10a233c79baa87cfa7878f0448b94851
2016-03-21T15:41:02Z,commit,EA-80772 - VMDE: MethodReturnValueWatcher.createExitRequest,github.com/JetBrains/intellij-community/pull/377/commits/acc7c264e4cf155e4d6f96af88b75feb7685fc89
2016-03-22T11:44:37Z,commit,auto test: protect from NPE,github.com/JetBrains/intellij-community/pull/377/commits/006e03cd16d56e024951762dff722139a82a5c1e
2016-03-22T14:20:22Z,commit,WI-31168 Unable to save settings after upgrade to 2016.1,github.com/JetBrains/intellij-community/pull/377/commits/5b98073eca637cc47b8a235f4b2c454e164aa5ba
2016-03-01T11:52:16Z,commit,do not stop on breakpoints in evaluated methods in resume one thread ¡­,github.com/JetBrains/intellij-community/pull/377/commits/e6af628e5eb00cf0c834e7176a8febd02608ca33
2016-03-22T12:05:40Z,commit,Avoid second editor disposing (EA-77898),github.com/JetBrains/intellij-community/pull/377/commits/aa40e5a8519179a11558677b6f9a63039f53757e
2016-03-10T15:54:30Z,commit,"[vcs-log] got to ref jumps to the first reference that matches, not t¡­",github.com/JetBrains/intellij-community/pull/377/commits/e4019774c538f10a43bc8f024a3a4fa1982aab45
2016-03-22T15:57:33Z,commit,skipping BOM for PersistentUserId,github.com/JetBrains/intellij-community/pull/377/commits/c8f2a270e0a69fb9d9f6d4371f2ee55247fc050d
