1212,It is recommended to add a json view window.
2019-10-12T07:36:00Z,discuss,"Many times the String variable is json. If it is displayed in txt format, it is not convenient to read. Add json formatting window for easy reading."
2019-10-12T07:36:00Z,discuss,"
"
2019-10-12T07:36:00Z,discuss,"I believe that in the following way, the json type is a String variable that is more pleasing to the eye.
"
2019-10-10T11:48:08Z,commit,[run-anything] added natural ordering of maven completion,github.com/JetBrains/intellij-community/pull/1212/commits/df5668beb29d55663825ef6481ef37b7515dc3e4
2019-10-10T11:52:53Z,commit,usages of newer api inspection: update to java 13,github.com/JetBrains/intellij-community/pull/1212/commits/406a87ab77614f179a54a313f3da64193993d8ed
2019-09-26T18:25:29Z,commit,IDEA-135179 added wizard content wrapping at scroll pane,github.com/JetBrains/intellij-community/pull/1212/commits/49766a200ae9d652bcfb1f747c72520dc8fff627
2019-10-10T11:13:34Z,commit,IDEA-224244 Bad suggestions for fully qualified class in javadoc link,github.com/JetBrains/intellij-community/pull/1212/commits/b76ef269a4bbf44442de806512693ce7445036d5
2019-10-10T11:26:51Z,commit,IDEA-220634 Completion suggests finalize() first after @Nullable/,github.com/JetBrains/intellij-community/pull/1212/commits/476bc6682a729cb79ea4f10e1bf5d621ef53b3c1
2019-10-10T12:27:36Z,commit,IDEA-216616 Update LaF for IntelliJ / Darcula slider,github.com/JetBrains/intellij-community/pull/1212/commits/053c9c954d4f037108d87226370ee249c2d104a4
2019-10-10T12:50:14Z,commit,IDEA-CR-53262 IDEA-223967 new update dialog merge multiple `also` int¡­,github.com/JetBrains/intellij-community/pull/1212/commits/9cf4537ee359515ad50a91461c71c6dfae7f9416
2019-10-09T17:15:44Z,commit,Fix slice type for homogeneous tuples (PY-33651),github.com/JetBrains/intellij-community/pull/1212/commits/abf6bcf9b08faea167b591527eb8129d7c38e924
2019-10-10T13:13:38Z,commit,IDEA-CR-53260 IDEA-217039 add `private static final`,github.com/JetBrains/intellij-community/pull/1212/commits/6e3f54dd9f196f60936f6dd0812547a7160f5490
2019-10-10T09:41:49Z,commit,IG: fix typo (IDEA-CR-53219),github.com/JetBrains/intellij-community/pull/1212/commits/091c6c012c9c66b2841b9f6c042855a472cbf62e
2019-10-10T10:31:38Z,commit,IG: add javadoc and use PsiUtil.resolveClassInClassTypeOnly(),github.com/JetBrains/intellij-community/pull/1212/commits/d8d244224bf0f4967c2502c0835c9838a29a6623
2019-10-10T13:35:34Z,commit,IDEA-CR-53381 IDEA-217303 Unbundle Vaadin plugin - remove from plugin¡­,github.com/JetBrains/intellij-community/pull/1212/commits/8f52311f7846169258e6fcea6be93993166038da
2019-10-10T13:36:31Z,commit,coordinate stdout/stderr when printing to ConsoleViewImpl (IDEA-70016),github.com/JetBrains/intellij-community/pull/1212/commits/556e056ea0b9db365b1e1424607daa77320cfb87
2019-10-10T13:46:24Z,commit,IG: store settings correctly (IDEA-224498),github.com/JetBrains/intellij-community/pull/1212/commits/dbd3da34082f4657e0dd6df5c5981dd6a43e820a
2019-10-09T14:34:28Z,commit,cleanup: make types more correct,github.com/JetBrains/intellij-community/pull/1212/commits/3ec615cb680e3b1df80b85d29e0235262db03ba1
2019-10-10T13:17:03Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/1212/commits/65cfddf7bdc4c7b88ae4bf72257541e748fb610d
2019-10-10T14:19:21Z,commit,fix consequences of making PsiParameter/PsiLocalVariable.getName() no¡­,github.com/JetBrains/intellij-community/pull/1212/commits/4c2947341a09453ce005ff664b87497995db30b6
