633,Ep rascal transformation
2017-09-28T13:00:11Z,commit,LeakHunter: skip internal Reference.discovered fields,github.com/JetBrains/intellij-community/pull/633/commits/d6d5e529f7f3dc60678c2025787999a4e10159fb
2017-09-28T12:17:24Z,commit,merge field naming conventions,github.com/JetBrains/intellij-community/pull/633/commits/a11fdd6abfcaee752361f6270e60e689ca8dcb1d
2017-09-28T12:33:10Z,commit,remove deprecation,github.com/JetBrains/intellij-community/pull/633/commits/7e80dfcbb6fa0814dcd0ad6ce390fbb3bafa6edb
2017-09-28T13:04:21Z,commit,sm tests: distinguish ignored/non-started tests for notification,github.com/JetBrains/intellij-community/pull/633/commits/c2c8ad7bc4651975019b8dfbfa9a42a4fe0b69df
2017-09-27T10:54:48Z,commit,Use file path as toString of FakeRevision,github.com/JetBrains/intellij-community/pull/633/commits/3ee314b26a1bbbda8239a2a31719d8a684e366fd
2017-09-28T12:17:32Z,commit,write DeprecatedModuleOptionManager in the external storage if only m¡­,github.com/JetBrains/intellij-community/pull/633/commits/1640d1582b2a388016319c39c61c7772fdf43102
2017-09-28T13:12:50Z,commit,[groovy] fix duplicate map entries (IDEA-CR-24946),github.com/JetBrains/intellij-community/pull/633/commits/eaa741fadabb96de748ae0066aa8081b2047cd34
2017-09-28T13:31:45Z,commit,ExternalStorage: schedule reimport if storage missed (cache invalidated),github.com/JetBrains/intellij-community/pull/633/commits/4381c55213f19ffe472838b6c380efa704c8f02d
2017-09-28T13:35:31Z,commit,debugger agent: support installed versions,github.com/JetBrains/intellij-community/pull/633/commits/0012b704cd546015229bab02400e7561cb9feabc
2017-09-27T17:15:35Z,commit,removed spam,github.com/JetBrains/intellij-community/pull/633/commits/f063aae6cadad981f4108d7be19f6ba084f180ef
2017-09-28T11:29:03Z,commit,test should not be run in headless mode,github.com/JetBrains/intellij-community/pull/633/commits/8f3d3dd028172098b56c81c17d13278eab4f4cb1
2017-09-28T11:29:36Z,commit,performance,github.com/JetBrains/intellij-community/pull/633/commits/c8e3e5ceb8e2d69303cbc01f6275a9b3c40d1734
