78,svn4idea / git4idea SSH agent support
2013-04-29T12:21:12Z,commit,Log VM options on IDE start (IDEA-106247),github.com/JetBrains/intellij-community/pull/78/commits/7c2d26ace004b5319b6ae7648e60b33c6e691379
2013-04-29T12:45:45Z,commit,"(with delay) show progress when initializing persistent maps, this is¡­",github.com/JetBrains/intellij-community/pull/78/commits/89f3060b886e6f1f4a07c79dc6f9c15a5ef6db1b
2013-04-29T12:46:45Z,commit,limit amount of memory used for index compaction to avoid OOME / gc i¡­,github.com/JetBrains/intellij-community/pull/78/commits/3d149bcad9ebc0fbfddea50853e7315c6580e088
2013-04-24T17:42:02Z,commit,safe delete: do not insert additional extends item if already present¡­,github.com/JetBrains/intellij-community/pull/78/commits/a79a2555da93741d7220f56f533fc65ca124e8d5
2013-04-24T18:50:05Z,commit,javafx packaging: deep copy,github.com/JetBrains/intellij-community/pull/78/commits/b957cbe20091fc1422ef3e72bf6a02450461621f
2013-04-23T13:33:56Z,commit,provably distinct: ? extends A should be provably distinct from Objec¡­,github.com/JetBrains/intellij-community/pull/78/commits/10240adc2aa4c0be17f0d82aeaf4d48cb7e700e7
2013-04-23T08:53:19Z,commit,javafx packaging: include security permissions when signed (IDEA-105821),github.com/JetBrains/intellij-community/pull/78/commits/8e0571c0aad26ee8b17b327234e7a547aa5e6848
2013-04-22T08:21:47Z,commit,fix toolbar customizations inside unnamed groups (IDEA-105639),github.com/JetBrains/intellij-community/pull/78/commits/a4ffdcf4b46a3db905f9148512b192eef1e7d64b
2013-04-22T11:05:50Z,commit,move static to interface (IDEA-105844),github.com/JetBrains/intellij-community/pull/78/commits/6d6ac87d682b88e6d576727739a08dff5938ef5b
2013-04-22T11:11:31Z,commit,CCE (IDEA-105740),github.com/JetBrains/intellij-community/pull/78/commits/6493c79a02c0f2728f06898b998c158fc089a0ee
2013-04-22T12:26:41Z,commit,check for upper bound in wrapped wildcard (IDEA-105846),github.com/JetBrains/intellij-community/pull/78/commits/a88fd41430718be1c0bd4f8b42f24d2dd6d94be3
2013-04-22T13:45:31Z,commit,accept this refs inside anonymous classes in java 8 interfaces (IDEA-¡­,github.com/JetBrains/intellij-community/pull/78/commits/c773ae4e781ab1077ae880f07d0735876205f05e
2013-04-22T15:02:57Z,commit,safe delete: more precise check for top level comments (IDEA-105923),github.com/JetBrains/intellij-community/pull/78/commits/d9a97fc11546b91143da13cd37f0a915384bade3
2013-04-22T15:58:37Z,commit,redundant cast: ignore for lambda casts with serializable/intersectio¡­,github.com/JetBrains/intellij-community/pull/78/commits/2bf961616abad80ae85242b14dcda7fa0888933b
2013-04-22T17:37:03Z,commit,EA-45754 - assert: MethodArgumentFix.invoke,github.com/JetBrains/intellij-community/pull/78/commits/4cab481f0c911cd0957ba986d0d2f440248c7ae3
2013-04-22T17:41:19Z,commit,EA-45843 - assert: CreateSubclassAction$.templateFinished,github.com/JetBrains/intellij-community/pull/78/commits/d20f686aaae9c7dc6ba4173bd3c389bd7d3dd792
2013-04-22T18:22:36Z,commit,postpone tree construction for smart mode (EA-39115 - INRE: FileBased¡­,github.com/JetBrains/intellij-community/pull/78/commits/ffba0c1da157d99cc67fbd1de5df7bcddd7c5a3f
2013-04-23T08:03:46Z,commit,check that .fxml is not mapped to the associated editor,github.com/JetBrains/intellij-community/pull/78/commits/2f1122e957dad78b898e642afebee95264fc162d
2013-04-23T14:17:41Z,commit,extract class: leave reference parameters untouched after replacement¡­,github.com/JetBrains/intellij-community/pull/78/commits/b3ea373399afe8d9bc84e892e8b012a8bb8bdd0f
2013-04-23T14:51:35Z,commit,extract class: do not warn about usages of statics in class initializ¡­,github.com/JetBrains/intellij-community/pull/78/commits/18ae3f48e80ee88c7d4dfea107d567e8f61d57b1
2013-04-24T07:51:47Z,commit,fix nullability according to javadoc (IDEA-106039),github.com/JetBrains/intellij-community/pull/78/commits/82b87ec24f54f0aabbc0f0606c9f5f551690bc5c
2013-04-24T11:57:06Z,commit,method applicability: do not check erased types if method was not cal¡­,github.com/JetBrains/intellij-community/pull/78/commits/b489ac71b1fc9573933121c0ba45abd139747403
2013-04-24T14:19:38Z,commit,add single static import: process nested references (IDEA-94951),github.com/JetBrains/intellij-community/pull/78/commits/07716d7ae04890a916941a1a3713ac0685e0a33e
2013-04-24T17:07:44Z,commit,EA-45911 - assert: CompositeElement.textToCharArray,github.com/JetBrains/intellij-community/pull/78/commits/571c5bc8605864e1e99c00c59023890f95045999
2013-04-24T17:09:01Z,commit,EA-45864 - assert: CreateLocalFromUsageFix.getAnchor,github.com/JetBrains/intellij-community/pull/78/commits/66b020e31fac5a29f1c1e916bb4315eb20f80d0c
2013-04-24T17:12:29Z,commit,EA-45861 - AIOOBE: CreateClassFromUsageBaseFix.getSuperClassName,github.com/JetBrains/intellij-community/pull/78/commits/ec2bf03eec274d3e27b8ad2b48f9d1c3dc862ecc
2013-04-25T09:40:32Z,commit,move members: no need to align according to nested classes (IDEA-106175),github.com/JetBrains/intellij-community/pull/78/commits/dea44eccdd47924ef2c7adde6ef272b7ba6060e0
2013-04-25T13:05:33Z,commit,suggest to import method: background color fixed,github.com/JetBrains/intellij-community/pull/78/commits/c7c173437ba70d7bc1dffd87813b2e79dad5e7d2
2013-03-27T08:09:06Z,commit,IDEA-103760,github.com/JetBrains/intellij-community/pull/78/commits/09375170dc8ba1c9dd462a2cef170b514c1ce7fd
2013-04-29T19:47:00Z,commit,IDEA-106229 Home/End keys won't work in Recent Files popup,github.com/JetBrains/intellij-community/pull/78/commits/3bde28fc29d486c183944f3bcfe4726f814fb580
2013-04-29T09:05:18Z,commit,pack war and jar modules into archives when exploded EAR artifact is ¡­,github.com/JetBrains/intellij-community/pull/78/commits/39044d875a9e2c45f61e342dc98c87bae126eaf4
2013-04-30T06:26:14Z,commit,fixed problem with timestamps in external build tests [only test code¡­,github.com/JetBrains/intellij-community/pull/78/commits/de4ca8e6b0708924520957ab189d9e2728db9cb6
