1126,make getExecutable() generate a platform-specific filename
2019-04-20T09:34:37Z,discuss,"Hi there,"
2019-04-20T09:34:37Z,discuss,"I'm trying to get the PyCharm IDE running faster on a Jetson Nano (linux-aarch64). Compiling the fsnotifier source with the local GCC is straight-forward enough (integrating the change into the build process is not yet), however NativeFileWatcherImpl.getExecutable() will error out with unsupported platform if it's not one of the specifically encoded platforms. To make this a little more hackable, I have changed the code to give a platform-specific executable name to look for instead. This way, providing fsnotifier-aarch64 on the Jetson Nano should do the trick without further need to change the PyCharm package.
There is room for improvement for sure, like ensuring that you get to know the filename that is wanted, however this is a start."
2019-05-08T10:31:47Z,commit,IDEA-207382 - maven event listener artifact included into build confi¡­,github.com/JetBrains/intellij-community/pull/1126/commits/e68ed9e07d8c10a3abcdbf185b0cc5e063fda8a0
2019-05-08T10:49:59Z,commit,terminal: proper issue link,github.com/JetBrains/intellij-community/pull/1126/commits/c92ec608651194bf9bbf268bf26f0a4a1e889dc6
2019-05-08T11:07:46Z,commit,vcs-ignore: rename ignore file duplicate entry inspection,github.com/JetBrains/intellij-community/pull/1126/commits/50ed8235867373ebf71d696f1734aa56bcb5f748
2019-05-08T11:17:30Z,commit,java completion: don't suggest irrelevant items in imports,github.com/JetBrains/intellij-community/pull/1126/commits/21ff03aa90a4dda8f3bbe0cde03cfc39bf4242a9
2019-05-08T11:24:17Z,commit,clarify FileIndex read action expectations,github.com/JetBrains/intellij-community/pull/1126/commits/fb12044fd3a97c8a11ea321bb3a34297c531d38f
2019-05-08T11:38:43Z,commit,[platform] adds an ability to update plugins from a command line (IDE¡­,github.com/JetBrains/intellij-community/pull/1126/commits/5265afcf400a5aeb7692b9b847aa77eca6b5bdc2
2019-04-12T13:30:20Z,commit,IDEA-CR-46341: PY-21466 Allow to see other files than *.py in remote ¡­,github.com/JetBrains/intellij-community/pull/1126/commits/fb1deb5a4c7909b37cad85d3631ba1369368caff
2019-04-16T10:17:19Z,commit,IDEA-CR-46341: PY-21466 Better variable names in generator3.py:is_sou¡­,github.com/JetBrains/intellij-community/pull/1126/commits/1884152e21d814b9963f9d5a4b6fc71e9a467897
2019-04-18T11:58:09Z,commit,IDEA-CR-46341: PY-21466 Python helpers: Determine text files like lib¡­,github.com/JetBrains/intellij-community/pull/1126/commits/39212014ac8d1b1db12a977aaa82df4bca697fd4
2019-04-18T12:15:13Z,commit,IDEA-CR-46341: PY-21466 Python helpers: removed `except UnicodeDecode¡­,github.com/JetBrains/intellij-community/pull/1126/commits/5d60c8f4e0110153c946e3ec2ccf4098c8bd5e94
2019-05-08T09:52:22Z,commit,IDEA-CR-46341: PY-21466 Python helpers: grammar in comments,github.com/JetBrains/intellij-community/pull/1126/commits/ba69bc9f4401669f6eed4bab471a58cfa615db9a
2019-05-08T11:01:26Z,commit,IDEA-CR-46341: PY-21466 Python helpers: is_text_file moved from gener¡­,github.com/JetBrains/intellij-community/pull/1126/commits/741e72149432ca3a9737e415ca9b9fb67de19d66
