731,173
2018-02-11T16:29:02Z,discuss,I need IntelliJ IDEA source code for the purpose of developing a new plugin. Thanks!
2018-02-12T10:24:52Z,discuss,"@baocatsamac you do not need to create malformed pull requests to develop plugins for IntelliJ IDEA.
Start reading docs from this page: https://www.jetbrains.org/intellij/sdk/docs/welcome.html"
2018-01-06T08:42:38Z,commit,StandardInstructionVisitor: fixed EA-114599 - IAE: DataFlowInspection¡­,github.com/JetBrains/intellij-community/pull/731/commits/13632009ca04d6bf431d8cf32a69d59a0728a36b
2018-01-02T18:51:18Z,commit,don't dispose smart pointers explicitly (IDEA-184471),github.com/JetBrains/intellij-community/pull/731/commits/7e0176fa774fb59cd3e4ce87e18f6c8548665880
2017-12-20T15:27:45Z,commit,restore customizations (IDEA-179312),github.com/JetBrains/intellij-community/pull/731/commits/efb3968b577b649ce92df58631eda0c5595a265b
2018-01-08T09:46:17Z,commit,statistics: extentions are not allowed (any plugin could override sta¡­,github.com/JetBrains/intellij-community/pull/731/commits/6073a5fc0f5d5b2b74109a1b335bb38d0b6f11cd
2018-01-08T13:41:43Z,commit,"Revert ""VM property `idea.set.proxy.selector` to disable setting glob¡­",github.com/JetBrains/intellij-community/pull/731/commits/08a1cd83843e87ae6d936c056e86b807133e766c
2018-01-09T07:28:11Z,commit,Gradle: make CompositeBuildData serializable.,github.com/JetBrains/intellij-community/pull/731/commits/a139b14583b651a2178b4e945951ffbf1eaaa47d
2017-12-22T13:03:49Z,commit,EA-105889 - CCE: DebuggerTreeNodeExpression.substituteThis,github.com/JetBrains/intellij-community/pull/731/commits/4c4f088602b4349aaf99d13fdb36e7350fd0e4b7
2018-01-09T11:31:42Z,commit,"[ui] even better quotes paths for ""Show in Explorer"" action (IDEA-183¡­",github.com/JetBrains/intellij-community/pull/731/commits/5f70f543bdb3fc0fd091f9d2dab8bba95bb485eb
2017-11-24T08:20:31Z,commit,All .gitignore plugin versions are marked as incompatible (IDEA-184685),github.com/JetBrains/intellij-community/pull/731/commits/5e7a2474acb05e99a0d4d73f9bb8fbf4af688095
2017-11-01T18:03:40Z,commit,Attribute error while loading matplotlib with qt5 (PY-26652),github.com/JetBrains/intellij-community/pull/731/commits/1ddf4039ef74e33e0636d9d393938d589206f3e1
2017-12-13T13:58:07Z,commit,PY-27229: Use system-dependent path separator for interpreter name,github.com/JetBrains/intellij-community/pull/731/commits/ec11865c8632d272066e0e96240dadc9af9c844c
2017-12-18T16:00:19Z,commit,PY-27266 Don't use ALIGN_MULTILINE_PARENTHESIZED_EXPRESSION in Python¡­,github.com/JetBrains/intellij-community/pull/731/commits/b0b00f2cfd7903b8641aad53a2aae5ab77e1267a
2017-12-22T09:49:39Z,commit,Compare ints as big ints in python package version comparator,github.com/JetBrains/intellij-community/pull/731/commits/f29c899183089ba6ff389a36063ef7597c609101
2017-12-22T12:52:40Z,commit,Drop first parameter when getting instance parameters from `__call__`,github.com/JetBrains/intellij-community/pull/731/commits/fc10bc85f0c85d89473011850ef8dc508cdb71c1
2017-12-29T12:37:44Z,commit,"Revert ""Special case `typing` for Python < 3.5 (PY-22945)""",github.com/JetBrains/intellij-community/pull/731/commits/b598bef53860c65c4b67e665fe84fcac1925c1f5
2018-01-09T13:47:37Z,commit,"java compiler indices based inheritor search should not use ""useScope¡­",github.com/JetBrains/intellij-community/pull/731/commits/1b722434643fe69185f955f92681ef956c3d8393
2018-01-05T15:31:52Z,commit,"IDEA-123287 Multiple ""Updating indices"" bg tasks after external file ¡­",github.com/JetBrains/intellij-community/pull/731/commits/415141fb073de9c618edb66498baa29e3944f05d
2018-01-09T21:25:47Z,commit,"Revert ""IDEA-123287 Multiple ""Updating indices"" bg tasks after extern¡­",github.com/JetBrains/intellij-community/pull/731/commits/0a5e8afba8c83c86ee0d8340aa5b0564b44d7218
2018-01-09T15:09:51Z,commit,Gradle: handle and report errors happened before the gradle invocatio¡­,github.com/JetBrains/intellij-community/pull/731/commits/d68cb63f523c4c71aa3a05b2aaa33bf19e711c95
2018-01-10T07:34:18Z,commit,Gradle: handle and report errors happened before the gradle invocatio¡­,github.com/JetBrains/intellij-community/pull/731/commits/f00a8d126c6ce68610b3ef0c289f0eccd3f11156
2018-01-10T07:42:37Z,commit,typo fix (IDEA-184726),github.com/JetBrains/intellij-community/pull/731/commits/8a90cadd324ce471e6c9c52fb18af411733f0694
2017-12-05T14:06:44Z,commit,IDEA-182831 paste of maven GAV co-ordinates into gradle file results ¡­,github.com/JetBrains/intellij-community/pull/731/commits/d2fcbbab6ec548e241738aaca33e5bffc94d2565
2017-12-13T06:34:15Z,commit,Maven: do not pollute the IDEA tests classpath with maven2 jars,github.com/JetBrains/intellij-community/pull/731/commits/428898ce3e398d4fc37e046b22f86723f6eadcc4
2017-12-22T11:56:07Z,commit,Maven: highlighting tests fix,github.com/JetBrains/intellij-community/pull/731/commits/06a05c6d8427060bc740461ac180c760280061a3
2018-01-08T17:03:52Z,commit,NPE: NonProjectFileWritingAccessDialog.lambda$setTextAndMnemonicAndLi¡­,github.com/JetBrains/intellij-community/pull/731/commits/fee2887c820749f7e0e978ff6f1a1ec0f2c7cf0a
2018-01-10T13:29:11Z,commit,IDEA-184156 safe parseFloat,github.com/JetBrains/intellij-community/pull/731/commits/85ddd5d44ccf0f9f7829fa23e89f0db22c8ea500
2017-11-10T23:56:08Z,commit,support smart select provider for discontinuous tree selection mode,github.com/JetBrains/intellij-community/pull/731/commits/88c4b81ff4683c2c2dd4783f6a89a5279a8b36c7
2017-11-11T23:01:57Z,commit,support smart select provider for contiguous tree selection mode,github.com/JetBrains/intellij-community/pull/731/commits/45a1dd318dce7f26485a8b8f726f592f946043ec
2017-11-12T22:54:13Z,commit,disable smart select provider for single tree selection mode,github.com/JetBrains/intellij-community/pull/731/commits/2aae0b2e26ae1d9b2816040188fe39e84b8c2610
2017-11-12T23:18:45Z,commit,copy TreeSmartSelectTest.testSelectionDoesntJumpTooQuickly from Kotli¡­,github.com/JetBrains/intellij-community/pull/731/commits/4517127b2ef3bc5b158496bd748e098de7705f38
2017-11-13T08:30:12Z,commit,test that decrease selection does not clear it,github.com/JetBrains/intellij-community/pull/731/commits/fea3291fb26d70cec0bf947e46baa4781343ceaa
