82,SSH agent support for git and svn integrations
2013-12-20T15:23:05Z,commit,[log] Take END_COMMIT_NODE as well as COMMIT_NODE,github.com/JetBrains/intellij-community/pull/82/commits/34ab25e2273911e105184def6d2d77ae28304646
2013-12-20T15:25:45Z,commit,cache cls navigation elements that are not so cheap to calculate each¡­,github.com/JetBrains/intellij-community/pull/82/commits/054ec7e0586ee5269e22b1f730e2b0754446328a
2013-12-20T15:40:07Z,commit,"IDEA-104706 Remove currently active file from ""Recent Files"" popup",github.com/JetBrains/intellij-community/pull/82/commits/317be6ec958d0fa73ec7ea75daa59a70f009fc2e
2013-12-20T15:40:09Z,commit,assertion added to check that 'registerOutputDirectory' isn't called ¡­,github.com/JetBrains/intellij-community/pull/82/commits/2f2154b59302bdd7a3e9333e7022ae278f48a1a2
2013-12-20T15:42:53Z,commit,don't show active file in recent files section,github.com/JetBrains/intellij-community/pull/82/commits/3aac7abcd1295caf6b616e86c00a0cafa3ec2862
2013-12-20T16:09:40Z,commit,% sign is useless while indexing,github.com/JetBrains/intellij-community/pull/82/commits/181d69ee838e2a8b27924a2445d8e0307baf0e56
2013-12-20T16:11:22Z,commit,use ctrl(meta) + shift + K shortcut for push,github.com/JetBrains/intellij-community/pull/82/commits/2c708399fcff5278e049c0bd1262648b4c7e0eb3
2013-12-20T16:13:19Z,commit,use ctrl(meta) + shift + K shortcut for push,github.com/JetBrains/intellij-community/pull/82/commits/718d70f59b43f0d90e50f584091430edf6797d10
2013-12-20T16:19:31Z,commit,"Do not throw on quick-fix creation, just return null",github.com/JetBrains/intellij-community/pull/82/commits/b83ecae0bdea002263c09f1190c81017cd61a122
2013-12-20T17:24:20Z,commit,free the memory used to build RootIndex,github.com/JetBrains/intellij-community/pull/82/commits/ec01e468b1940a674e618fdc1b4c2dd3b162beaa
2013-12-20T17:24:50Z,commit,avoid creating string garbage when searching for external annotations,github.com/JetBrains/intellij-community/pull/82/commits/2c458f1f5c203c6e0cbdb0e21dacad00e186f27c
2013-12-20T17:25:17Z,commit,drop cls navigation element cache on the navigation element change,github.com/JetBrains/intellij-community/pull/82/commits/2acfe622469dea8fe09d435814c5785aadae5a3c
2013-12-20T18:26:56Z,commit,"+ ""trie""",github.com/JetBrains/intellij-community/pull/82/commits/669ae41ad09412e77421206cfcc6991d4f9dbfa5
2013-12-21T11:12:40Z,commit,cosmetics: revision hash template changed to long.,github.com/JetBrains/intellij-community/pull/82/commits/f1c78e193f7bd3c31c529ed24b54bc961eb8c031
2013-12-21T11:14:20Z,commit,"Style: unnecessary array with indicator output command removed, mySho¡­",github.com/JetBrains/intellij-community/pull/82/commits/71f457f8f135eaebd81d74691baee3eb0ee2fa8e
2013-12-21T12:14:58Z,commit,"OutputSuppressed option added for HgCommandExecutor, style changed, u¡­",github.com/JetBrains/intellij-community/pull/82/commits/4d55fdde0d0cdb67df877b506e9ebebed019723a
2013-12-21T13:04:33Z,commit,[log] simplify,github.com/JetBrains/intellij-community/pull/82/commits/12fd8d45add703f9f8504180dc117d1a913bb221
2013-12-20T13:27:07Z,commit,groovy 2.2.1,github.com/JetBrains/intellij-community/pull/82/commits/53ea37558d6acfd25c0f2c697e716b59835fd842
2013-12-21T17:44:25Z,commit,don't run groovy shell if there is no full Groovy lib in a module,github.com/JetBrains/intellij-community/pull/82/commits/0ac89c0d2ecafaa78d281fb266b01ecaab8493c1
2013-12-21T17:45:08Z,commit,get rid of GrBinaryExpressionImpl inheritors in code base,github.com/JetBrains/intellij-community/pull/82/commits/62dec2dbcba22af60246395872a1bcadd9d04d4a
2013-12-21T17:58:38Z,commit,disable 'new' postfix template for a while,github.com/JetBrains/intellij-community/pull/82/commits/87b06c1fb59d47db948793f30976c4aedd04f7fb
2013-12-21T18:18:58Z,commit,update gant according to groovy version,github.com/JetBrains/intellij-community/pull/82/commits/77bf85bda600d0faf4df40f15549616b360c834a
2013-12-21T19:36:36Z,commit,Merge remote-tracking branch 'origin/master',github.com/JetBrains/intellij-community/pull/82/commits/cf379f32ab82fc42e087b3f396e7d95f005d9452
2013-12-21T19:44:14Z,commit,revert groovy 2.2.1,github.com/JetBrains/intellij-community/pull/82/commits/dfbbfe289d18c70552c0fd3859eff2cc681c81d1
2013-12-21T20:14:17Z,commit,corrected gant,github.com/JetBrains/intellij-community/pull/82/commits/a8861db9c968040b714cc0b37b187635782757ee
2013-12-22T09:37:19Z,commit,dfa: don't grow stack infinitely on &= (IDEA-118522),github.com/JetBrains/intellij-community/pull/82/commits/1dd46651c97a59b7b373d3b27a659ef0f3544955
2013-12-23T08:34:07Z,commit,IDEA-117966 introduce variable from unresolved reference,github.com/JetBrains/intellij-community/pull/82/commits/5b8d6b2497173f36d2d070937603dd4555c124ea
2013-12-23T08:58:28Z,commit,IDEA-118138 don't highlight closures using unassigned vars,github.com/JetBrains/intellij-community/pull/82/commits/ec97f825f7158c2eb1dce6dcd36e96aced0ff143
2013-12-23T09:50:59Z,commit,correct dependency type for gant,github.com/JetBrains/intellij-community/pull/82/commits/4cfd00159853dad00a86ff3225f065b95610e72a
2013-12-23T10:05:03Z,commit,EA-52726 (assert: ComponentManagerImpl.getComponent),github.com/JetBrains/intellij-community/pull/82/commits/5a86a94ba17dfa851a40417b5c5afe6560fd0b11
2013-12-20T12:35:32Z,commit,EA-52137,github.com/JetBrains/intellij-community/pull/82/commits/bb63a9b4aa64783b6c760b3ce695364983ba2a87
2013-12-20T14:32:31Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/82/commits/016ee36d1752dd37bc5520d3984e419d9d84f4e5
2013-12-23T10:23:28Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/82/commits/8ff12a43153ac60c2bc428bb51a655637a13ac6a
