1156,"Cause ""No proxy for"" list to be comma separated after exanded"
2019-06-11T00:33:04Z,discuss,"Currently it is a space sepparated list, which causes issues when using
proxy exceptions."
2019-08-15T15:21:05Z,commit,fix typo,github.com/JetBrains/intellij-community/pull/1156/commits/b1e5644ca3edcf42e0fdd5fa1abe777b64a9cea1
2019-08-15T15:57:29Z,commit,[devkit] cleanup EP field annotation code,github.com/JetBrains/intellij-community/pull/1156/commits/a4ceedebd5982a8c419af6f78b106e79f3f8e414
2019-08-15T14:50:25Z,commit,vcs: cleanup: RunVcsCloneDialogAction.kt -> GetFromVersionControlActi¡­,github.com/JetBrains/intellij-community/pull/1156/commits/6d839e236dad3d5cc514569325ab2f0e80cf6a3d
2019-08-15T15:04:39Z,commit,vcs: use correct text for clone actions in different places,github.com/JetBrains/intellij-community/pull/1156/commits/a144bef814d966c3853514fc4ea5db8a68010059
2019-08-15T16:15:00Z,commit,"CodeInsightUtil: tolerate classes with null names, whoever returns th¡­",github.com/JetBrains/intellij-community/pull/1156/commits/9f94c65616746f6bc09a2ab3b4ce34ec889eb387
2019-08-15T16:20:21Z,commit,[devkit] ExtensionDomExtender: skip EP static fields immediately,github.com/JetBrains/intellij-community/pull/1156/commits/3e64217de4bfb5c7604b01acb17d15737e312869
2019-08-15T16:25:14Z,commit,make smart keys configurables searchable,github.com/JetBrains/intellij-community/pull/1156/commits/35fba7c13dfe0fe8ecf9459f22fd478d876d1f22
2019-08-15T16:37:45Z,commit,Fall back to project settings if current computation is unfinished (l¡­,github.com/JetBrains/intellij-community/pull/1156/commits/f475ae92d54c6f51b1d4913240e9b5a81bbfc2ac
2019-08-15T17:39:30Z,commit,Notify on EDT in synchronous mode too (failing test fix),github.com/JetBrains/intellij-community/pull/1156/commits/7d2018c336ab23a638beb17558f69035822bc068
2019-07-23T14:37:23Z,commit,Don't mark `continue` in `finally` block as an error in Python 3.8+ (¡­,github.com/JetBrains/intellij-community/pull/1156/commits/d50b3ad7ea97b13e5e5f389ac450fd06404ebe79
2019-07-25T17:05:47Z,commit,Complete `continue` in `finally` block in Python 3.8+ (PY-36003),github.com/JetBrains/intellij-community/pull/1156/commits/bf2f4468b2a652917c9a18bf598dee6969c75afb
2019-08-15T16:00:38Z,commit,Move highlighting `continue` under `finally` to compatibility inspect¡­,github.com/JetBrains/intellij-community/pull/1156/commits/34ae8b9265a0746d4c757a54253453a75d2c1ef0
2019-08-15T18:38:06Z,commit,fix paths in OrderEnumeratorTest.addModuleRoots,github.com/JetBrains/intellij-community/pull/1156/commits/6cc03fd2ab7e0dbf0608f3e29db64a036b54453a
2019-08-15T13:35:46Z,commit,avoid getting file specific codestyle settings when not necessary (ID¡­,github.com/JetBrains/intellij-community/pull/1156/commits/ec1b89f89d96d85852f637249fce957c328a36ca
2019-08-15T18:57:04Z,commit,reset cache correctly for cell renderers,github.com/JetBrains/intellij-community/pull/1156/commits/3d843f49c05c2a85648ce5497d974a3659e7f4d0
2019-08-15T20:17:13Z,commit,"temp disable a test to help TC a bit,",github.com/JetBrains/intellij-community/pull/1156/commits/aecea82a4da66338de616574a45fd5beea498a0b
2019-08-15T20:32:28Z,commit,revert,github.com/JetBrains/intellij-community/pull/1156/commits/ed8f6613998a5c3599b5bf4eebfa08ee9cf7cf01
2019-08-15T20:52:06Z,commit,IDEA-153291 IDE opens on a last known location when external monitor ¡­,github.com/JetBrains/intellij-community/pull/1156/commits/1c279e90c99aa46564a88ecaddb4b09db84bcd13
2019-08-16T07:16:44Z,commit,remove empty method,github.com/JetBrains/intellij-community/pull/1156/commits/766ca3e5ca3b5501bc61139b737ef9a3ef14ecbe
2019-08-16T08:11:31Z,commit,don't fire file-type changed events on TextMateServiceImpl initializa¡­,github.com/JetBrains/intellij-community/pull/1156/commits/2ff0d321a761a506aba153541f2cb3b2007f7c0b
2019-08-16T08:13:01Z,commit,IDEA-216893 Quick documentation is shown even without moving the mouse,github.com/JetBrains/intellij-community/pull/1156/commits/ac30a302e7687f9626eebe9a743338cf542b4452
2019-08-15T16:22:38Z,commit,IDEA-220779 add recent commit messages into the commit message input ¡­,github.com/JetBrains/intellij-community/pull/1156/commits/7e94e50f3eeed58a56cbb8da9fc7fe7828ff909f
2019-08-16T09:02:06Z,commit,IDEA-219849 - added ProgressManager.checkCanceled(),github.com/JetBrains/intellij-community/pull/1156/commits/1774421c3e7d42432b67d80d87f08cc0a26f5ffe
2019-08-16T09:39:13Z,commit,"[devkit] Provide ""Plugin Descriptor Files"" default search scope (enab¡­",github.com/JetBrains/intellij-community/pull/1156/commits/0f6419650e946a57894321aeb05670cbed4a3a0c
2019-08-16T09:41:42Z,commit,[platform] non-destructive fast SafeFileOutputStream (IDEA-152607/IDE¡­,github.com/JetBrains/intellij-community/pull/1156/commits/36eb661e15ac5605e295ed41900b9fcb46af683e
2019-08-15T16:40:06Z,commit,IDEA-215196 fix runner tabs border when left toolbar isn't visible,github.com/JetBrains/intellij-community/pull/1156/commits/f1da0a162ce33992109330a46fcfe6939d45bc4a
2019-08-15T17:35:41Z,commit,Update Recent Changes Popup layout,github.com/JetBrains/intellij-community/pull/1156/commits/47cf56d27c41d27d8dc82529ecf6e1539259bb3c
2019-08-15T18:31:49Z,commit,IDEA-215194 bring back separator between toolbar and console in run tabs,github.com/JetBrains/intellij-community/pull/1156/commits/6bda2d72f52b97dc1fb1cca077013ca74310ab20
2019-08-16T10:03:39Z,commit,"[devkit] ""Plugin Descriptor Files"" default search scope - remove regi¡­",github.com/JetBrains/intellij-community/pull/1156/commits/eee0b38fccce6ba843cb92f6cc5eda26060336e5
2019-08-16T10:39:59Z,commit,"base state <cinit>: let's use a class loader, which belongs to the cl¡­",github.com/JetBrains/intellij-community/pull/1156/commits/15bc02e14a1fdc571ce5c6d8b1b5df8eca445fa4
2019-08-16T10:44:47Z,commit,"don't load services with current thread's class loader, specify it ex¡­",github.com/JetBrains/intellij-community/pull/1156/commits/d37c9a972874a5eea4aa747c567fba90a555bf86
2019-08-16T11:08:14Z,commit,IJI-186 build ultimate modules for private maven repo publication,github.com/JetBrains/intellij-community/pull/1156/commits/970e75d9e421bd8ed0d6b2f72f6a5421fcbcf011
2019-08-16T11:14:18Z,commit,Updating versions of project dependencies: jdkBuild->11_0_4b419.1,github.com/JetBrains/intellij-community/pull/1156/commits/0ceb1a7af23f2abe786c4633e0e48935fc7bb466
2019-08-16T11:21:53Z,commit,process extensions from xincluded plugin xmls with modules but no id,github.com/JetBrains/intellij-community/pull/1156/commits/8fef03d491de40a821656b6d9dd098f854359f61
2019-08-15T15:55:02Z,commit,EA-207093 - IAE: SliceUtil.$$$reportNull$$$,github.com/JetBrains/intellij-community/pull/1156/commits/99b4bbb8edbcf4b382a4d3e8e2237ccb8705bd96
2019-08-15T16:11:43Z,commit,EA-207358 - NPE: FindUsagesManager.lambda$null$,github.com/JetBrains/intellij-community/pull/1156/commits/43c572cbaab96e90bf12e597d0c3f23923393b85
2019-08-15T16:15:29Z,commit,EA-207504 - IPE: VfsEventGenerationHelper.lambda$isUnderSomeProjectRoot$,github.com/JetBrains/intellij-community/pull/1156/commits/d3db7e6476eb93c64ed2cd8941014ac53b61afe1
2019-08-15T16:15:43Z,commit,EA-210048 - assert: LazyParseableElement.ensureParsed,github.com/JetBrains/intellij-community/pull/1156/commits/4cc4d7dc84ac134ff95ada08534279c9ca6f9f41
2019-08-16T11:24:18Z,commit,IDEA-220692 fixing code review suggestions from Nik,github.com/JetBrains/intellij-community/pull/1156/commits/cfc076c57838f141e9451b5313f4b4dd28a1721e
2019-08-16T11:40:27Z,commit,EA-210457 - IAE: PsiDocumentManager.$$$reportNull$$$: project is miss¡­,github.com/JetBrains/intellij-community/pull/1156/commits/48fb1aef4aca0816b65154433842f12fdac6dc0f
2019-08-16T12:10:26Z,commit,cleanup: simplify code since the VirtualFile.getId() is positive: rep¡­,github.com/JetBrains/intellij-community/pull/1156/commits/c2b58ffbbf09cbfc9ee66f8a8c63293f0f332055
2019-08-16T12:27:56Z,commit,git: Compare Branches should filter the log view by respective git root,github.com/JetBrains/intellij-community/pull/1156/commits/cbe4fa7e40eac630d54f6e74882928326e0b553d
2019-08-16T12:28:52Z,commit,IJI-186 preview -> publication rename; publication of all artifacts s¡­,github.com/JetBrains/intellij-community/pull/1156/commits/c2afcaf396b3646a2bad5dbcc3aeb32311fc66df
2019-08-16T12:32:53Z,commit,"IDEA-220692 fixing code review suggestions from Nik, take 2",github.com/JetBrains/intellij-community/pull/1156/commits/467bc4111b764704b2616f1e969a5493d00cb6df
2019-08-16T12:32:59Z,commit,"Fix HiDPI case for ""Dump Screen Configuration"" internal action",github.com/JetBrains/intellij-community/pull/1156/commits/bbb437aee242aa7a19e6dea2701e565671a7741a
2019-08-16T12:41:22Z,commit,IDEA-216967 Folded values of properties from resource bundles are not¡­,github.com/JetBrains/intellij-community/pull/1156/commits/fe46f1bc06ba49c1a5ee8326e1b7ea7ef7ef328c
2019-08-16T12:50:21Z,commit,IJI-186 remove Bintray-specific suffix,github.com/JetBrains/intellij-community/pull/1156/commits/cb671a2f1fff1ed860cc7e478dffa64805de953a
2019-08-08T08:43:23Z,commit,IDEA-CR-51224: PY-37204 Remove accidentally added code from `pydev_co¡­,github.com/JetBrains/intellij-community/pull/1156/commits/06eb532762d1d2e7eb4631290b6ec5d3e128f627
2019-08-13T13:26:57Z,commit,[vcs] IDEA-211406: Move changes parsing to background,github.com/JetBrains/intellij-community/pull/1156/commits/6bb81883bed2729cac276920f19501c9bc60454f
2019-08-13T14:24:27Z,commit,IDEA-CR-51461: PY-37150 Check if frame is None,github.com/JetBrains/intellij-community/pull/1156/commits/dca39399b5d6a40f4832a21d92cde9e4a5703757
2019-08-13T17:17:39Z,commit,[vcs] ShowAllAffectedGenericAction should be performed only from old ¡­,github.com/JetBrains/intellij-community/pull/1156/commits/8801c32a5df09aa24b407e0ffae0e5d35d550920
2019-08-16T08:37:35Z,commit,IDEA-CR-51461: PY-37150 Rebuild windows and mac binaries,github.com/JetBrains/intellij-community/pull/1156/commits/0a758ef8120d700f13c4d3bb50f944aa2e326866
2019-08-16T12:49:18Z,commit,[devkit] use DescriptorUtil.getIdeaPlugin(),github.com/JetBrains/intellij-community/pull/1156/commits/05d5149ceb8b8133a5b77ea1df884ad73683eb5b
2019-08-16T13:26:16Z,commit,[devkit] DescriptorUtil: getIdeaPluginFileElement vs getIdeaPlugin,github.com/JetBrains/intellij-community/pull/1156/commits/42c685898d2279b736b329595387d2e49e03dc24
2019-08-16T13:33:04Z,commit,[devkit] DescriptorUtil#getPluginId() -> PluginRunConfiguration,github.com/JetBrains/intellij-community/pull/1156/commits/73a874182d6fc9901ea5768696aa9c59ec47eb0b
