658,how to edit privacy policy
2013-01-06T17:57:42Z,commit,IDEA-98574 white lines in commit button popup menu,github.com/JetBrains/intellij-community/pull/658/commits/3e57881d301addf38031b7f7127f8361e31b9c21
2013-01-07T08:27:31Z,commit,EA-42391 - PIEAE: PsiElementBase.getContainingFile,github.com/JetBrains/intellij-community/pull/658/commits/81bcc8099568cc6f50efe0bbc38da3fd6551538a
2012-11-29T09:48:40Z,commit,Diagnostics for NSME (EA-39972),github.com/JetBrains/intellij-community/pull/658/commits/cb3c856a58689997a8baee27fa0e7f1e6cc78c16
2013-01-07T10:19:13Z,commit,fix tests,github.com/JetBrains/intellij-community/pull/658/commits/c78948d18a9bf2b6ab26ab15926fbd07038cd964
2012-12-05T15:09:45Z,commit,when detect inaccessible classes in static context take into account ¡­,github.com/JetBrains/intellij-community/pull/658/commits/3a20786bb97376e6d0d919f482f9d902082a3714
2012-12-07T12:23:05Z,commit,"import module: cleanup builders after import; init ""update"" state (ID¡­",github.com/JetBrains/intellij-community/pull/658/commits/66a0a6fa0514671a2614cb22918df0e0f9d7c64f
2012-12-10T15:31:28Z,commit,typo (IDEA-97120),github.com/JetBrains/intellij-community/pull/658/commits/44c8b6dfd2191459078759ba4960a0d23924679d
2012-12-10T15:14:05Z,commit,use range markers to prevent e.g. copyright to break the text,github.com/JetBrains/intellij-community/pull/658/commits/c624f4c4be890bfa3127b4981a66fa602cdd30e3
2012-12-10T17:10:13Z,commit,do not multiply downloaded plugins on enable/disable filter (IDEA-97153),github.com/JetBrains/intellij-community/pull/658/commits/7fcaae27da216d961879ff4ceec2131b58c8a80d
2012-12-11T13:17:40Z,commit,restore new expressions correctly (IDEA-97001),github.com/JetBrains/intellij-community/pull/658/commits/2864fa94c8dfa7e6e8e702e54551854021be6458
2012-12-12T14:45:35Z,commit,find action: close popup before settings dialog is shown (IDEA-97352),github.com/JetBrains/intellij-community/pull/658/commits/0a5f212370e1ac5719f05070254ce475ecad3b06
2012-12-13T13:50:35Z,commit,introduce field: choose anchor corresponding to used fields without i¡­,github.com/JetBrains/intellij-community/pull/658/commits/14ed01125bbc3ab1540d33e83a62814bd5fd7dd0
