id,title,status,importance
80179,warn message log,VERIFIED FIXED,P3 normal
80180,toolbars mac respond,RESOLVED FIXED,P3 normal
80181,specify contribute plugin stringvariablepreferencepage,RESOLVED DUPLICATE of bug 45977,P3 enhancement
80182,extension editor page manifest editor work change target platform,RESOLVED INVALID,P3 major
80183,large log support exception occur open log view wrong,CLOSED FIXED,P3 normal
80184,imorting subfolder zip possible,NEW,P5 enhancement
80185,degenerative build state case produce incorrect link command,RESOLVED FIXED,P3 normal
80186,try apply diff consist whitespace,ASSIGNED,P3 normal
80187,unreachable feature,RESOLVED FIXED,P3 enhancement
80188,character set problems ibm jvm,RESOLVED WONTFIX,P3 normal with 1 vote
80189,new connection modal,RESOLVED WONTFIX,P3 normal
80190,server exloper category horrible name,CLOSED FIXED,P3 normal
80191,link exception console inner class,VERIFIED FIXED,P2 normal
80192,longer search occurrances file,RESOLVED WONTFIX,P3 normal
80193,jdk inability debug junit test,RESOLVED WORKSFORME,P3 normal
80194,methods generic parameters cannot refactored,RESOLVED DUPLICATE of bug 75642,P3 normal
80195,unsuported define symbol null parameter bracket,RESOLVED INVALID,P3 normal
80196,heap status indicator enhacements,RESOLVED FIXED,P3 enhancement
80197,unassigned field error range constructor,RESOLVED WONTFIX,P3 normal
80198,colons incorrectly colour property file editor,RESOLVED DUPLICATE of bug 81493,P3 minor
80199,bugzilla community corrections,RESOLVED FIXED,P3 normal
80200,distinction user team resources,RESOLVED INVALID,P3 enhancement
80201,increase website usability modularity,RESOLVED FIXED,P3 normal
80202,npe synchronize,RESOLVED FIXED,P3 normal
80203,applicationwindow content reduce thin strip return false,NEW,P4 normal with 1 vote
80204,checkbox tree table ignore second click double click,RESOLVED FIXED,P3 normal
80205,titleareadialog title image pixels rgb value transaparent,RESOLVED FIXED,P3 normal
80206,ctrl backspace ctrl del break,RESOLVED DUPLICATE of bug 79573,P3 normal
80207,launch variables insert cursor,VERIFIED FIXED,P3 normal
80208,npe try resolve single static import,VERIFIED FIXED,P3 normal
80209,dissambly view wide field,NEW,P3 enhancement
80210,bad link wst main,CLOSED FIXED,P3 normal
80211,bug java parser,CLOSED INVALID,P3 major
80212,classcastexpression cvschangesetcollector,VERIFIED FIXED,P3 normal
80213,compare editor background color obey settings,RESOLVED FIXED,P3 normal
80214,jdt ui must return combine writable preference store,ASSIGNED,P3 normal
80215,provide content assist nls string java editor,ASSIGNED,P3 enhancement with 1 vote
80216,due exit,RESOLVED FIXED,P3 critical
80217,relative paths manage build debug session differ,NEW,P3 normal
80218,class default package resolvable,RESOLVED INVALID,P3 normal
80219,quick potential quick fix sometimes resolve,RESOLVED WONTFIX,P3 normal
80220,code oversight,RESOLVED FIXED,P3 trivial
80221,javadoc comment node return type miss,VERIFIED FIXED,P3 normal
80222,editors cannot open resources outside workspace,CLOSED FIXED,P2 normal
80223,declaration search consider visibility determine override methods,VERIFIED FIXED,P3 normal
